,Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
95,CIFAR10 0-4,Improved Noisy Student,2,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2, ensemble_size: 2",0.648,0.645687755,0.088110498,0.647762398,0.886423371,0.691148022,25.29508924,2.544309378
96,CIFAR10 0-4,Baseline,3,None,0.5916,0.59290921,0.101889765,0.620229538,0.87257657,0.667138262,2.955287218,0.178308964
97,CIFAR10 0-4,Noisy Student,3,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.6236,0.624915056,0.093968012,0.626215518,0.877081245,0.67279273,14.54443622,0.738247633
98,CIFAR10 0-4,Improved Noisy Student,3,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.6304,0.630753961,0.092361132,0.631084372,0.87701588,0.676948459,19.45979047,1.883225441
99,CIFAR10 0-4,Baseline,4,None,0.6328,0.63243742,0.092016037,0.640855955,0.894307992,0.70555049,1.772230387,0.184041739
100,CIFAR10 0-4,Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2",0.6284,0.628285229,0.093050951,0.622847797,0.886640279,0.689344968,11.55643797,0.735700846
101,CIFAR10 0-4,Improved Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2, ensemble_size: 2",0.6372,0.637700114,0.090792632,0.63859571,0.884773325,0.69032917,23.83182478,1.597092628
102,CIFAR10 0-4,Baseline,5,None,0.6524,0.64585672,0.086789289,0.667473698,0.896603058,0.715109488,2.944171429,0.184919596
103,CIFAR10 0-4,Noisy Student,5,"unl_factor: 0.1, threshold: 0.6, num_of_students: 3",0.6692,0.661405006,0.082772096,0.662537921,0.898241404,0.712539383,11.50941253,0.737308741
104,CIFAR10 0-4,Improved Noisy Student,5,"unl_factor: 0.1, threshold: 0.6, num_of_students: 3, ensemble_size: 2",0.658,0.652571685,0.085330972,0.659495502,0.89731055,0.716934119,28.76754928,2.199421406
105,CIFAR10 0-4,Baseline,6,None,0.6088,0.60658255,0.098027275,0.618214573,0.882159829,0.675156475,2.944136143,0.148440838
106,CIFAR10 0-4,Noisy Student,6,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.6448,0.644336482,0.088803262,0.635745484,0.886752204,0.691346149,11.65988064,0.428151608
107,CIFAR10 0-4,Improved Noisy Student,6,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 3",0.6264,0.627310546,0.09325595,0.629368578,0.884670407,0.685479738,19.71863317,1.894702673
108,CIFAR10 0-4,Baseline,7,None,0.6088,0.614407806,0.097656657,0.608011688,0.875584325,0.664959389,2.962571383,0.145157576
109,CIFAR10 0-4,Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.6116,0.618543225,0.096877031,0.621196239,0.873736937,0.667694086,10.12132716,0.741944075
110,CIFAR10 0-4,Improved Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.6208,0.625184577,0.094915864,0.62675362,0.877084893,0.673931986,19.66448784,2.202172041
111,CIFAR10 0-4,Baseline,8,None,0.5944,0.597395742,0.101231226,0.628505266,0.872928313,0.660364783,2.147550344,0.156730413
112,CIFAR10 0-4,Noisy Student,8,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2",0.6292,0.629369497,0.092872154,0.628278664,0.874603912,0.671686378,10.35324574,0.422898293
113,CIFAR10 0-4,Improved Noisy Student,8,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2, ensemble_size: 3",0.6308,0.632721791,0.092253192,0.639312467,0.880864874,0.679629046,20.51263261,1.555361509
114,CIFAR10 0-4,Baseline,9,None,0.628,0.625330164,0.092758667,0.637643989,0.886983087,0.690163613,1.850915432,0.186009645
115,CIFAR10 0-4,Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.6404,0.637246592,0.089669976,0.640622422,0.88297521,0.682348095,11.647403,0.430290699
116,CIFAR10 0-4,Improved Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.6332,0.6288371,0.091617147,0.626839977,0.879060466,0.673628547,43.00070095,2.264910936
117,CIFAR10 0-4,Baseline,10,None,0.6264,0.626369475,0.093258905,0.624923707,0.881539765,0.682572239,1.866005898,0.185122728
118,CIFAR10 0-4,Noisy Student,10,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.646,0.643906686,0.088565122,0.641851238,0.886377715,0.693588228,10.60204911,0.759988546
119,CIFAR10 0-4,Improved Noisy Student,10,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 2",0.6468,0.646524563,0.088144244,0.647527902,0.88527999,0.693769764,39.36948872,2.19262886
120,CIFAR10 5_9,Baseline,1,None,0.6952,0.692858203,0.076262885,0.722542388,0.926796694,0.79873461,6.197245121,0.150781155
121,CIFAR10 5_9,Noisy Student,1,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2",0.7472,0.745354197,0.063156385,0.751416925,0.937336481,0.82109872,13.25350523,0.420714617
122,CIFAR10 5_9,Improved Noisy Student,1,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2, ensemble_size: 3",0.7396,0.737043503,0.065099899,0.737298829,0.933558696,0.814367847,27.10084724,2.213297367
123,CIFAR10 5_9,Baseline,2,None,0.7256,0.728130783,0.068162557,0.746563111,0.942167247,0.831023405,2.943722963,0.191235781
124,CIFAR10 5_9,Noisy Student,2,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.7468,0.745079948,0.063174891,0.745355544,0.940703023,0.825941463,14.33612251,0.737522364
125,CIFAR10 5_9,Improved Noisy Student,2,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.7396,0.737921898,0.065089416,0.739860502,0.93868167,0.824857272,44.00574517,1.876001835
126,CIFAR10 5_9,Baseline,3,None,0.7392,0.738701096,0.06523563,0.749544262,0.938458905,0.823134616,1.721469879,0.185363293
127,CIFAR10 5_9,Noisy Student,3,"unl_factor: 0.2, threshold: 0.5, num_of_students: 3",0.7548,0.754491382,0.061320691,0.753259328,0.94153287,0.826716223,12.06873894,0.744399786
128,CIFAR10 5_9,Improved Noisy Student,3,"unl_factor: 0.2, threshold: 0.5, num_of_students: 3, ensemble_size: 3",0.744,0.744009754,0.064010954,0.743201163,0.933553719,0.812050064,62.33856606,1.556661129
129,CIFAR10 5_9,Baseline,4,None,0.7148,0.715343564,0.071351071,0.733171672,0.933628339,0.81008386,2.956315041,0.18564415
130,CIFAR10 5_9,Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.7416,0.742105023,0.064631121,0.740883283,0.936599678,0.820608109,12.21171212,0.743945599
131,CIFAR10 5_9,Improved Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.7196,0.720204242,0.070114653,0.721661887,0.930148776,0.802128803,55.10566688,1.872622013
132,CIFAR10 5_9,Baseline,5,None,0.7376,0.737556532,0.065521133,0.74616978,0.940481142,0.830207905,1.880199909,0.142666817
133,CIFAR10 5_9,Noisy Student,5,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.742,0.740945646,0.064492555,0.749549532,0.941457224,0.833800289,12.93451667,0.735078573
134,CIFAR10 5_9,Improved Noisy Student,5,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.742,0.741012494,0.064502223,0.744533858,0.937339082,0.82786465,54.86684251,1.23078227
135,CIFAR10 5_9,Baseline,6,None,0.6716,0.676635631,0.081909597,0.702638443,0.925151901,0.798485611,1.802048206,0.189744473
136,CIFAR10 5_9,Noisy Student,6,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.73,0.735569495,0.067422105,0.737516392,0.936203746,0.824527157,13.3958137,0.410427332
137,CIFAR10 5_9,Improved Noisy Student,6,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.7352,0.740116234,0.066172085,0.737482459,0.93592826,0.82754984,48.13198638,1.238250732
138,CIFAR10 5_9,Baseline,7,None,0.7088,0.710558986,0.072618674,0.715308912,0.931560949,0.799070627,1.810141563,0.156382322
139,CIFAR10 5_9,Noisy Student,7,"unl_factor: 0.2, threshold: 0.5, num_of_students: 2",0.7172,0.717875055,0.070623598,0.717395234,0.927465206,0.792042195,13.59710407,0.735028267
140,CIFAR10 5_9,Improved Noisy Student,7,"unl_factor: 0.2, threshold: 0.5, num_of_students: 2, ensemble_size: 2",0.71,0.710122126,0.072413455,0.714757985,0.927583951,0.796535274,33.54025173,1.256229162
141,CIFAR10 5_9,Baseline,8,None,0.7032,0.702820534,0.074183582,0.740433937,0.932300911,0.811007367,2.947752953,0.145024061
142,CIFAR10 5_9,Noisy Student,8,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.7392,0.739161506,0.065184918,0.749517551,0.936354825,0.82242706,14.33895969,0.746881008
143,CIFAR10 5_9,Improved Noisy Student,8,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.7436,0.743805203,0.064080577,0.743352879,0.933965096,0.820896955,60.66571116,1.55695796
144,CIFAR10 5_9,Baseline,9,None,0.726,0.7274005,0.068424682,0.733128538,0.929761745,0.806260153,2.947255373,0.190119982
145,CIFAR10 5_9,Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2",0.7348,0.734467196,0.066397559,0.738750008,0.931958481,0.812120339,14.87548804,0.733062983
146,CIFAR10 5_9,Improved Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2, ensemble_size: 3",0.7264,0.727036734,0.068365212,0.72781089,0.929075463,0.810935408,27.93292689,1.874831676
